,실험 이름 :,20240731_CTH_3
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,3720
'0:0:14.25,3723
'0:0:14.3,3730
'0:0:14.35,3740
'0:0:14.4,3753
'0:0:14.45,3771
'0:0:14.5,3800
'0:0:14.55,3826
'0:0:14.6,3850
'0:0:14.65,3876
'0:0:14.7,3910
'0:0:14.75,3948
'0:0:14.8,3996
'0:0:14.85,4044
'0:0:14.9,4104
'0:0:14.95,4167
'0:0:15.0,4233
'0:0:15.05,4287
'0:0:15.1,4343
'0:0:15.15,4394
'0:0:15.2,4448
'0:0:15.25,4505
'0:0:15.3,4574
'0:0:15.35,4632
'0:0:15.4,4683
'0:0:15.45,4730
'0:0:15.5,4776
'0:0:15.55,4786
'0:0:15.6,4749
'0:0:15.65,4689
'0:0:15.7,4621
'0:0:15.75,4549
'0:0:15.8,4446
'0:0:15.85,4350
'0:0:15.9,4263
'0:0:15.95,4197
'0:0:16.0,4136
'0:0:16.05,4085
'0:0:16.1,4036
'0:0:16.15,3995
'0:0:16.2,3955
'0:0:16.25,3931
'0:0:16.3,3915
'0:0:16.35,3907
'0:0:16.4,3912
'0:0:16.45,3922
'0:0:16.5,3930
'0:0:16.55,3935
'0:0:16.6,3947
'0:0:16.65,3997
'0:0:16.7,4105
'0:0:16.75,4216
'0:0:16.8,4320
'0:0:16.85,4402
'0:0:16.9,4486
'0:0:16.95,4559
'0:0:17.0,4628
'0:0:17.05,4690
'0:0:17.1,4755
'0:0:17.15,4806
'0:0:17.2,4860
'0:0:17.25,4910
'0:0:17.3,4960
'0:0:17.35,5003
'0:0:17.4,5044
'0:0:17.45,5074
'0:0:17.5,5093
'0:0:17.55,5082
'0:0:17.6,5011
'0:0:17.65,4889
'0:0:17.7,4739
'0:0:17.75,4614
'0:0:17.8,4479
'0:0:17.85,4358
'0:0:17.9,4253
'0:0:17.95,4172
'0:0:18.0,4096
'0:0:18.05,4040
'0:0:18.1,3987
'0:0:18.15,3941
'0:0:18.2,3900
'0:0:18.25,3869
'0:0:18.3,3838
'0:0:18.35,3815
'0:0:18.4,3795
'0:0:18.45,3778
'0:0:18.5,3761
'0:0:18.55,3750
'0:0:18.6,3737
'0:0:18.65,3724
'0:0:18.7,3715
'0:0:18.75,3709
'0:0:18.8,3708
'0:0:18.85,3717
'0:0:18.9,3733
'0:0:18.95,3754
'0:0:19.0,3788
'0:0:19.05,3831
'0:0:19.1,3890
'0:0:19.15,3953
'0:0:19.2,4025
'0:0:19.25,4092
'0:0:19.3,4166
'0:0:19.35,4235
'0:0:19.4,4308
'0:0:19.45,4369
'0:0:19.5,4441
'0:0:19.55,4515
'0:0:19.6,4591
'0:0:19.65,4659
'0:0:19.7,4729
'0:0:19.75,4790
'0:0:19.8,4855
'0:0:19.85,4911
'0:0:19.9,4967
'0:0:19.95,5012
'0:0:20.0,5048
'0:0:20.05,5053
'0:0:20.1,4994
'0:0:20.15,4873
'0:0:20.2,4715
'0:0:20.25,4570
'0:0:20.3,4427
'0:0:20.35,4312
'0:0:20.4,4212
'0:0:20.45,4142
'0:0:20.5,4077
'0:0:20.55,4021
'0:0:20.6,3971
'0:0:20.65,3933
'0:0:20.7,3897
'0:0:20.75,3871
'0:0:20.8,3847
'0:0:20.85,3826
'0:0:20.9,3809
'0:0:20.95,3798
'0:0:21.0,3784
'0:0:21.05,3772
'0:0:21.1,3767
'0:0:21.15,3766
'0:0:21.2,3772
'0:0:21.25,3783
'0:0:21.3,3794
'0:0:21.35,3808
'0:0:21.4,3827
'0:0:21.45,3846
'0:0:21.5,3867
'0:0:21.55,3891
'0:0:21.6,3925
'0:0:21.65,3953
'0:0:21.7,3982
'0:0:21.75,4013
'0:0:21.8,4049
'0:0:21.85,4090
'0:0:21.9,4150
'0:0:21.95,4206
'0:0:22.0,4267
'0:0:22.05,4319
'0:0:22.1,4375
'0:0:22.15,4430
'0:0:22.2,4491
'0:0:22.25,4544
'0:0:22.3,4593
'0:0:22.35,4629
'0:0:22.4,4662
'0:0:22.45,4687
'0:0:22.5,4696
'0:0:22.55,4665
'0:0:22.6,4577
'0:0:22.65,4451
'0:0:22.7,4294
'0:0:22.75,4166
'0:0:22.8,4073
'0:0:22.85,4020
'0:0:22.9,3975
'0:0:22.95,3936
'0:0:23.0,3896
'0:0:23.05,3863
'0:0:23.1,3835
'0:0:23.15,3815
'0:0:23.2,3795
'0:0:23.25,3777
'0:0:23.3,3760
'0:0:23.35,3748
'0:0:23.4,3735
'0:0:23.45,3722
'0:0:23.5,3714
'0:0:23.55,3710
'0:0:23.6,3710
'0:0:23.65,3717
'0:0:23.7,3724
'0:0:23.75,3731
'0:0:23.8,3742
'0:0:23.85,3755
'0:0:23.9,3777
'0:0:23.95,3812
'0:0:24.0,3865
'0:0:24.05,3914
'0:0:24.1,3954
'0:0:24.15,3985
'0:0:24.2,4024
'0:0:24.25,4063
'0:0:24.3,4108
'0:0:24.35,4157
'0:0:24.4,4208
'0:0:24.45,4255
'0:0:24.5,4304
'0:0:24.55,4348
'0:0:24.6,4398
'0:0:24.65,4445
'0:0:24.7,4494
'0:0:24.75,4540
'0:0:24.8,4592
'0:0:24.85,4640
'0:0:24.9,4686
'0:0:24.95,4721
'0:0:25.0,4758
'0:0:25.05,4790
'0:0:25.1,4827
'0:0:25.15,4863
'0:0:25.2,4887
'0:0:25.25,4873
'0:0:25.3,4794
'0:0:25.35,4676
'0:0:25.4,4542
'0:0:25.45,4424
'0:0:25.5,4305
'0:0:25.55,4209
'0:0:25.6,4123
'0:0:25.65,4056
'0:0:25.7,3992
'0:0:25.75,3939
'0:0:25.8,3893
'0:0:25.85,3863
'0:0:25.9,3836
'0:0:25.95,3816
'0:0:26.0,3801
'0:0:26.05,3788
'0:0:26.1,3779
'0:0:26.15,3774
'0:0:26.2,3769
'0:0:26.25,3767
'0:0:26.3,3765
'0:0:26.35,3764
'0:0:26.4,3764
'0:0:26.45,3765
'0:0:26.5,3769
'0:0:26.55,3775
'0:0:26.6,3778
'0:0:26.65,3789
'0:0:26.7,3813
'0:0:26.75,3845
'0:0:26.8,3902
'0:0:26.85,3976
'0:0:26.9,4062
'0:0:26.95,4145
'0:0:27.0,4237
'0:0:27.05,4314
'0:0:27.1,4387
'0:0:27.15,4447
'0:0:27.2,4513
'0:0:27.25,4576
'0:0:27.3,4642
