,실험 이름 :,20240731_LSK_3
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,5399
'0:0:14.25,5346
'0:0:14.3,5308
'0:0:14.35,5276
'0:0:14.4,5250
'0:0:14.45,5227
'0:0:14.5,5210
'0:0:14.55,5195
'0:0:14.6,5185
'0:0:14.65,5177
'0:0:14.7,5171
'0:0:14.75,5167
'0:0:14.8,5164
'0:0:14.85,5161
'0:0:14.9,5160
'0:0:14.95,5160
'0:0:15.0,5160
'0:0:15.05,5159
'0:0:15.1,5155
'0:0:15.15,5152
'0:0:15.2,5151
'0:0:15.25,5148
'0:0:15.3,5147
'0:0:15.35,5150
'0:0:15.4,5154
'0:0:15.45,5156
'0:0:15.5,5158
'0:0:15.55,5159
'0:0:15.6,5160
'0:0:15.65,5162
'0:0:15.7,5164
'0:0:15.75,5165
'0:0:15.8,5165
'0:0:15.85,5165
'0:0:15.9,5165
'0:0:15.95,5165
'0:0:16.0,5165
'0:0:16.05,5165
'0:0:16.1,5166
'0:0:16.15,5167
'0:0:16.2,5168
'0:0:16.25,5169
'0:0:16.3,5170
'0:0:16.35,5170
'0:0:16.4,5170
'0:0:16.45,5170
'0:0:16.5,5170
'0:0:16.55,5171
'0:0:16.6,5171
'0:0:16.65,5172
'0:0:16.7,5176
'0:0:16.75,5182
'0:0:16.8,5189
'0:0:16.85,5200
'0:0:16.9,5217
'0:0:16.95,5238
'0:0:17.0,5260
'0:0:17.05,5292
'0:0:17.1,5329
'0:0:17.15,5386
'0:0:17.2,5493
'0:0:17.25,5704
'0:0:17.3,5902
'0:0:17.35,6043
'0:0:17.4,6127
'0:0:17.45,6188
'0:0:17.5,6235
'0:0:17.55,6274
'0:0:17.6,6300
'0:0:17.65,6321
'0:0:17.7,6330
'0:0:17.75,6322
'0:0:17.8,6301
'0:0:17.85,6253
'0:0:17.9,6175
'0:0:17.95,6068
'0:0:18.0,5950
'0:0:18.05,5802
'0:0:18.1,5665
'0:0:18.15,5544
'0:0:18.2,5461
'0:0:18.25,5389
'0:0:18.3,5341
'0:0:18.35,5304
'0:0:18.4,5274
'0:0:18.45,5247
'0:0:18.5,5229
'0:0:18.55,5216
'0:0:18.6,5206
'0:0:18.65,5195
'0:0:18.7,5187
'0:0:18.75,5180
'0:0:18.8,5175
'0:0:18.85,5170
'0:0:18.9,5166
'0:0:18.95,5164
'0:0:19.0,5162
'0:0:19.05,5160
'0:0:19.1,5159
'0:0:19.15,5159
'0:0:19.2,5160
'0:0:19.25,5159
'0:0:19.3,5158
'0:0:19.35,5157
'0:0:19.4,5154
'0:0:19.45,5149
'0:0:19.5,5148
'0:0:19.55,5146
'0:0:19.6,5144
'0:0:19.65,5146
'0:0:19.7,5150
'0:0:19.75,5152
'0:0:19.8,5153
'0:0:19.85,5155
'0:0:19.9,5158
'0:0:19.95,5159
'0:0:20.0,5160
'0:0:20.05,5160
'0:0:20.1,5161
'0:0:20.15,5163
'0:0:20.2,5164
'0:0:20.25,5165
'0:0:20.3,5164
'0:0:20.35,5165
'0:0:20.4,5165
'0:0:20.45,5166
'0:0:20.5,5168
'0:0:20.55,5170
'0:0:20.6,5172
'0:0:20.65,5176
'0:0:20.7,5181
'0:0:20.75,5189
'0:0:20.8,5199
'0:0:20.85,5215
'0:0:20.9,5232
'0:0:20.95,5259
'0:0:21.0,5296
'0:0:21.05,5348
'0:0:21.1,5413
'0:0:21.15,5502
'0:0:21.2,5591
'0:0:21.25,5682
'0:0:21.3,5764
'0:0:21.35,5852
'0:0:21.4,5928
'0:0:21.45,5999
'0:0:21.5,6054
'0:0:21.55,6107
'0:0:21.6,6149
'0:0:21.65,6193
'0:0:21.7,6216
'0:0:21.75,6200
'0:0:21.8,6147
'0:0:21.85,6058
'0:0:21.9,5954
'0:0:21.95,5822
'0:0:22.0,5699
'0:0:22.05,5588
'0:0:22.1,5509
'0:0:22.15,5441
'0:0:22.2,5389
'0:0:22.25,5338
'0:0:22.3,5296
'0:0:22.35,5259
'0:0:22.4,5232
'0:0:22.45,5208
'0:0:22.5,5193
'0:0:22.55,5185
'0:0:22.6,5183
'0:0:22.65,5178
'0:0:22.7,5173
'0:0:22.75,5171
'0:0:22.8,5171
'0:0:22.85,5170
'0:0:22.9,5169
'0:0:22.95,5168
'0:0:23.0,5167
'0:0:23.05,5166
'0:0:23.1,5165
'0:0:23.15,5165
'0:0:23.2,5165
'0:0:23.25,5164
'0:0:23.3,5164
'0:0:23.35,5165
'0:0:23.4,5164
'0:0:23.45,5163
'0:0:23.5,5162
'0:0:23.55,5160
'0:0:23.6,5159
'0:0:23.65,5158
'0:0:23.7,5155
'0:0:23.75,5151
'0:0:23.8,5149
'0:0:23.85,5146
'0:0:23.9,5144
'0:0:23.95,5144
'0:0:24.0,5147
'0:0:24.05,5149
'0:0:24.1,5151
'0:0:24.15,5153
'0:0:24.2,5156
'0:0:24.25,5159
'0:0:24.3,5162
'0:0:24.35,5165
'0:0:24.4,5168
'0:0:24.45,5174
'0:0:24.5,5180
'0:0:24.55,5186
'0:0:24.6,5195
'0:0:24.65,5211
'0:0:24.7,5232
'0:0:24.75,5264
'0:0:24.8,5297
'0:0:24.85,5339
'0:0:24.9,5400
'0:0:24.95,5500
