,실험 이름 :,20240731_CMJ
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,8139
'0:0:14.25,8096
'0:0:14.3,8053
'0:0:14.35,8017
'0:0:14.4,7983
'0:0:14.45,7961
'0:0:14.5,7945
'0:0:14.55,7935
'0:0:14.6,7925
'0:0:14.65,7917
'0:0:14.7,7911
'0:0:14.75,7906
'0:0:14.8,7901
'0:0:14.85,7897
'0:0:14.9,7895
'0:0:14.95,7894
'0:0:15.0,7889
'0:0:15.05,7880
'0:0:15.1,7876
'0:0:15.15,7878
'0:0:15.2,7882
'0:0:15.25,7884
'0:0:15.3,7884
'0:0:15.35,7885
'0:0:15.4,7886
'0:0:15.45,7885
'0:0:15.5,7883
'0:0:15.55,7883
'0:0:15.6,7882
'0:0:15.65,7880
'0:0:15.7,7878
'0:0:15.75,7881
'0:0:15.8,7887
'0:0:15.85,7891
'0:0:15.9,7894
'0:0:15.95,7894
'0:0:16.0,7893
'0:0:16.05,7892
'0:0:16.1,7891
'0:0:16.15,7891
'0:0:16.2,7896
'0:0:16.25,7899
'0:0:16.3,7898
'0:0:16.35,7901
'0:0:16.4,7908
'0:0:16.45,7914
'0:0:16.5,7916
'0:0:16.55,7913
'0:0:16.6,7909
'0:0:16.65,7908
'0:0:16.7,7907
'0:0:16.75,7907
'0:0:16.8,7909
'0:0:16.85,7910
'0:0:16.9,7906
'0:0:16.95,7908
'0:0:17.0,7915
'0:0:17.05,7920
'0:0:17.1,7921
'0:0:17.15,7923
'0:0:17.2,7932
'0:0:17.25,7948
'0:0:17.3,7971
'0:0:17.35,7995
'0:0:17.4,8026
'0:0:17.45,8056
'0:0:17.5,8087
'0:0:17.55,8122
'0:0:17.6,8165
'0:0:17.65,8205
'0:0:17.7,8246
'0:0:17.75,8282
'0:0:17.8,8318
'0:0:17.85,8353
'0:0:17.9,8399
'0:0:17.95,8448
'0:0:18.0,8504
'0:0:18.05,8560
'0:0:18.1,8619
'0:0:18.15,8660
'0:0:18.2,8698
'0:0:18.25,8732
'0:0:18.3,8759
'0:0:18.35,8771
'0:0:18.4,8781
'0:0:18.45,8798
'0:0:18.5,8825
'0:0:18.55,8850
'0:0:18.6,8883
'0:0:18.65,8919
'0:0:18.7,8966
'0:0:18.75,9005
'0:0:18.8,9025
'0:0:18.85,9029
'0:0:18.9,9026
'0:0:18.95,9031
'0:0:19.0,9057
'0:0:19.05,9084
'0:0:19.1,9100
'0:0:19.15,9102
'0:0:19.2,9093
'0:0:19.25,9068
'0:0:19.3,9044
'0:0:19.35,9034
'0:0:19.4,9027
'0:0:19.45,9023
'0:0:19.5,9019
'0:0:19.55,9011
'0:0:19.6,8998
'0:0:19.65,8967
'0:0:19.7,8906
'0:0:19.75,8843
'0:0:19.8,8777
'0:0:19.85,8716
'0:0:19.9,8652
'0:0:19.95,8598
'0:0:20.0,8551
'0:0:20.05,8518
'0:0:20.1,8486
'0:0:20.15,8453
'0:0:20.2,8414
'0:0:20.25,8373
'0:0:20.3,8324
'0:0:20.35,8279
'0:0:20.4,8232
'0:0:20.45,8188
'0:0:20.5,8142
'0:0:20.55,8106
'0:0:20.6,8070
'0:0:20.65,8038
'0:0:20.7,8007
'0:0:20.75,7987
'0:0:20.8,7975
'0:0:20.85,7964
'0:0:20.9,7951
'0:0:20.95,7942
'0:0:21.0,7936
'0:0:21.05,7931
'0:0:21.1,7927
'0:0:21.15,7926
'0:0:21.2,7921
'0:0:21.25,7914
'0:0:21.3,7907
'0:0:21.35,7900
'0:0:21.4,7897
'0:0:21.45,7897
'0:0:21.5,7896
'0:0:21.55,7896
'0:0:21.6,7901
'0:0:21.65,7909
'0:0:21.7,7917
'0:0:21.75,7920
'0:0:21.8,7921
'0:0:21.85,7923
'0:0:21.9,7927
'0:0:21.95,7930
'0:0:22.0,7933
'0:0:22.05,7935
'0:0:22.1,7937
'0:0:22.15,7936
'0:0:22.2,7934
'0:0:22.25,7938
'0:0:22.3,7946
'0:0:22.35,7952
'0:0:22.4,7958
'0:0:22.45,7963
'0:0:22.5,7965
'0:0:22.55,7968
'0:0:22.6,7970
'0:0:22.65,7971
'0:0:22.7,7972
'0:0:22.75,7969
'0:0:22.8,7963
'0:0:22.85,7964
'0:0:22.9,7969
'0:0:22.95,7971
'0:0:23.0,7971
'0:0:23.05,7970
'0:0:23.1,7967
'0:0:23.15,7964
'0:0:23.2,7958
'0:0:23.25,7955
'0:0:23.3,7955
'0:0:23.35,7952
'0:0:23.4,7948
'0:0:23.45,7951
'0:0:23.5,7961
'0:0:23.55,7973
'0:0:23.6,7981
'0:0:23.65,7988
'0:0:23.7,8001
'0:0:23.75,8017
'0:0:23.8,8036
'0:0:23.85,8059
'0:0:23.9,8085
'0:0:23.95,8109
'0:0:24.0,8144
'0:0:24.05,8178
'0:0:24.1,8211
'0:0:24.15,8239
'0:0:24.2,8268
'0:0:24.25,8295
'0:0:24.3,8324
'0:0:24.35,8354
'0:0:24.4,8400
'0:0:24.45,8447
'0:0:24.5,8490
'0:0:24.55,8521
'0:0:24.6,8554
'0:0:24.65,8586
'0:0:24.7,8617
'0:0:24.75,8642
'0:0:24.8,8677
'0:0:24.85,8720
'0:0:24.9,8763
'0:0:24.95,8790
'0:0:25.0,8815
'0:0:25.05,8838
'0:0:25.1,8867
'0:0:25.15,8896
'0:0:25.2,8928
'0:0:25.25,8955
'0:0:25.3,8982
'0:0:25.35,9007
'0:0:25.4,9022
'0:0:25.45,9031
'0:0:25.5,9041
'0:0:25.55,9047
'0:0:25.6,9052
'0:0:25.65,9059
'0:0:25.7,9063
'0:0:25.75,9058
'0:0:25.8,9033
'0:0:25.85,8995
'0:0:25.9,8936
'0:0:25.95,8867
'0:0:26.0,8795
'0:0:26.05,8725
'0:0:26.1,8653
'0:0:26.15,8598
'0:0:26.2,8547
'0:0:26.25,8509
'0:0:26.3,8472
'0:0:26.35,8431
'0:0:26.4,8380
'0:0:26.45,8340
'0:0:26.5,8300
'0:0:26.55,8258
'0:0:26.6,8214
'0:0:26.65,8179
'0:0:26.7,8149
'0:0:26.75,8130
'0:0:26.8,8117
'0:0:26.85,8107
'0:0:26.9,8093
'0:0:26.95,8079
'0:0:27.0,8067
'0:0:27.05,8058
'0:0:27.1,8048
'0:0:27.15,8035
'0:0:27.2,8023
'0:0:27.25,8018
'0:0:27.3,8012
'0:0:27.35,8005
'0:0:27.4,7996
'0:0:27.45,7989
'0:0:27.5,7982
'0:0:27.55,7979
'0:0:27.6,7979
'0:0:27.65,7980
'0:0:27.7,7977
'0:0:27.75,7974
'0:0:27.8,7978
'0:0:27.85,7984
'0:0:27.9,7990
'0:0:27.95,7994
'0:0:28.0,7998
'0:0:28.05,8002
'0:0:28.1,8002
'0:0:28.15,7996
'0:0:28.2,7986
'0:0:28.25,7977
'0:0:28.3,7968
'0:0:28.35,7968
'0:0:28.4,7974
'0:0:28.45,7981
'0:0:28.5,7983
'0:0:28.55,7980
'0:0:28.6,7977
'0:0:28.65,7974
'0:0:28.7,7976
'0:0:28.75,7985
'0:0:28.8,7994
'0:0:28.85,8000
'0:0:28.9,8007
'0:0:28.95,8010
'0:0:29.0,8010
'0:0:29.05,8009
'0:0:29.1,8011
'0:0:29.15,8014
'0:0:29.2,8015
'0:0:29.25,8016
'0:0:29.3,8016
'0:0:29.35,8019
'0:0:29.4,8031
'0:0:29.45,8047
'0:0:29.5,8068
'0:0:29.55,8088
'0:0:29.6,8113
'0:0:29.65,8139
'0:0:29.7,8166
'0:0:29.75,8193
'0:0:29.8,8225
'0:0:29.85,8252
'0:0:29.9,8282
'0:0:29.95,8317
'0:0:30.0,8357
'0:0:30.05,8392
'0:0:30.1,8426
'0:0:30.15,8460
'0:0:30.2,8499
'0:0:30.25,8531
'0:0:30.3,8562
'0:0:30.35,8587
'0:0:30.4,8612
'0:0:30.45,8638
'0:0:30.5,8667
'0:0:30.55,8690
'0:0:30.6,8703
'0:0:30.65,8713
'0:0:30.7,8734
'0:0:30.75,8763
'0:0:30.8,8801
'0:0:30.85,8833
'0:0:30.9,8857
'0:0:30.95,8874
'0:0:31.0,8894
'0:0:31.05,8915
'0:0:31.1,8931
'0:0:31.15,8948
'0:0:31.2,8976
'0:0:31.25,9001
'0:0:31.3,9027
'0:0:31.35,9049
'0:0:31.4,9060
'0:0:31.45,9064
'0:0:31.5,9064
'0:0:31.55,9060
'0:0:31.6,9051
'0:0:31.65,9041
'0:0:31.7,9029
'0:0:31.75,9015
'0:0:31.8,8986
'0:0:31.85,8943
'0:0:31.9,8882
'0:0:31.95,8811
'0:0:32.0,8722
'0:0:32.05,8628
'0:0:32.1,8523
'0:0:32.15,8434
'0:0:32.2,8347
'0:0:32.25,8275
'0:0:32.3,8210
'0:0:32.35,8159
'0:0:32.4,8105
'0:0:32.45,8060
'0:0:32.5,8024
'0:0:32.55,8002
'0:0:32.6,7982
'0:0:32.65,7965
'0:0:32.7,7950
'0:0:32.75,7940
'0:0:32.8,7931
'0:0:32.85,7923
'0:0:32.9,7919
'0:0:32.95,7914
'0:0:33.0,7907
'0:0:33.05,7905
'0:0:33.1,7908
'0:0:33.15,7912
'0:0:33.2,7915
'0:0:33.25,7915
'0:0:33.3,7915
'0:0:33.35,7915
'0:0:33.4,7915
'0:0:33.45,7918
'0:0:33.5,7924
'0:0:33.55,7923
'0:0:33.6,7920
'0:0:33.65,7920
'0:0:33.7,7922
'0:0:33.75,7925
'0:0:33.8,7927
'0:0:33.85,7928
'0:0:33.9,7927
'0:0:33.95,7928
'0:0:34.0,7931
'0:0:34.05,7930
'0:0:34.1,7925
'0:0:34.15,7925
'0:0:34.2,7929
'0:0:34.25,7929
'0:0:34.3,7928
'0:0:34.35,7928
'0:0:34.4,7931
'0:0:34.45,7933
'0:0:34.5,7936
'0:0:34.55,7937
'0:0:34.6,7935
'0:0:34.65,7937
'0:0:34.7,7942
'0:0:34.75,7944
'0:0:34.8,7944
'0:0:34.85,7944
'0:0:34.9,7943
'0:0:34.95,7941
'0:0:35.0,7942
'0:0:35.05,7949
'0:0:35.1,7956
'0:0:35.15,7966
'0:0:35.2,7989
'0:0:35.25,8020
'0:0:35.3,8057
'0:0:35.35,8092
'0:0:35.4,8130
'0:0:35.45,8159
'0:0:35.5,8187
'0:0:35.55,8214
'0:0:35.6,8241
'0:0:35.65,8266
'0:0:35.7,8296
'0:0:35.75,8323
'0:0:35.8,8350
'0:0:35.85,8374
'0:0:35.9,8400
'0:0:35.95,8429
'0:0:36.0,8465
'0:0:36.05,8496
'0:0:36.1,8523
'0:0:36.15,8541
'0:0:36.2,8556
'0:0:36.25,8567
'0:0:36.3,8582
'0:0:36.35,8597
'0:0:36.4,8612
'0:0:36.45,8627
'0:0:36.5,8647
'0:0:36.55,8667
'0:0:36.6,8691
'0:0:36.65,8714
'0:0:36.7,8735
'0:0:36.75,8749
'0:0:36.8,8759
'0:0:36.85,8765
'0:0:36.9,8781
'0:0:36.95,8808
'0:0:37.0,8844
'0:0:37.05,8874
'0:0:37.1,8897
'0:0:37.15,8919
'0:0:37.2,8946
'0:0:37.25,8970
'0:0:37.3,8989
'0:0:37.35,8994
'0:0:37.4,8991
'0:0:37.45,8985
'0:0:37.5,8967
'0:0:37.55,8946
'0:0:37.6,8915
'0:0:37.65,8879
'0:0:37.7,8831
'0:0:37.75,8778
'0:0:37.8,8720
'0:0:37.85,8663
'0:0:37.9,8596
'0:0:37.95,8540
'0:0:38.0,8488
'0:0:38.05,8442
'0:0:38.1,8384
'0:0:38.15,8324
'0:0:38.2,8260
'0:0:38.25,8212
'0:0:38.3,8170
'0:0:38.35,8137
'0:0:38.4,8105
'0:0:38.45,8076
'0:0:38.5,8051
