,실험 이름 :,20240731_LSK2
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,13201
'0:0:14.25,13183
'0:0:14.3,13167
'0:0:14.35,13150
'0:0:14.4,13139
'0:0:14.45,13131
'0:0:14.5,13121
'0:0:14.55,13111
'0:0:14.6,13105
'0:0:14.65,13102
'0:0:14.7,13097
'0:0:14.75,13092
'0:0:14.8,13090
'0:0:14.85,13087
'0:0:14.9,13084
'0:0:14.95,13083
'0:0:15.0,13081
'0:0:15.05,13079
'0:0:15.1,13077
'0:0:15.15,13077
'0:0:15.2,13077
'0:0:15.25,13078
'0:0:15.3,13079
'0:0:15.35,13079
'0:0:15.4,13079
'0:0:15.45,13086
'0:0:15.5,13093
'0:0:15.55,13097
'0:0:15.6,13103
'0:0:15.65,13116
'0:0:15.7,13130
'0:0:15.75,13142
'0:0:15.8,13155
'0:0:15.85,13179
'0:0:15.9,13207
'0:0:15.95,13270
'0:0:16.0,13382
'0:0:16.05,13527
'0:0:16.1,13638
'0:0:16.15,13719
'0:0:16.2,13765
'0:0:16.25,13801
'0:0:16.3,13829
'0:0:16.35,13854
'0:0:16.4,13874
'0:0:16.45,13899
'0:0:16.5,13920
'0:0:16.55,13938
'0:0:16.6,13953
'0:0:16.65,13967
'0:0:16.7,13977
'0:0:16.75,13986
'0:0:16.8,13996
'0:0:16.85,14004
'0:0:16.9,14003
'0:0:16.95,14009
'0:0:17.0,14033
'0:0:17.05,14072
'0:0:17.1,14099
'0:0:17.15,14113
'0:0:17.2,14118
'0:0:17.25,14121
'0:0:17.3,14118
'0:0:17.35,14111
'0:0:17.4,14108
'0:0:17.45,14109
'0:0:17.5,14112
'0:0:17.55,14119
'0:0:17.6,14125
'0:0:17.65,14125
'0:0:17.7,14118
'0:0:17.75,14110
'0:0:17.8,14102
'0:0:17.85,14087
'0:0:17.9,14063
'0:0:17.95,14031
'0:0:18.0,13998
'0:0:18.05,13947
'0:0:18.1,13889
'0:0:18.15,13828
'0:0:18.2,13774
'0:0:18.25,13719
'0:0:18.3,13670
'0:0:18.35,13621
'0:0:18.4,13579
'0:0:18.45,13538
'0:0:18.5,13499
'0:0:18.55,13456
'0:0:18.6,13421
'0:0:18.65,13390
'0:0:18.7,13364
'0:0:18.75,13335
'0:0:18.8,13309
'0:0:18.85,13283
'0:0:18.9,13263
'0:0:18.95,13241
'0:0:19.0,13221
'0:0:19.05,13201
'0:0:19.1,13184
'0:0:19.15,13168
'0:0:19.2,13155
'0:0:19.25,13143
'0:0:19.3,13132
'0:0:19.35,13122
'0:0:19.4,13117
'0:0:19.45,13114
'0:0:19.5,13109
'0:0:19.55,13102
'0:0:19.6,13101
'0:0:19.65,13103
'0:0:19.7,13103
'0:0:19.75,13107
'0:0:19.8,13114
'0:0:19.85,13117
'0:0:19.9,13119
'0:0:19.95,13125
'0:0:20.0,13131
'0:0:20.05,13136
'0:0:20.1,13141
'0:0:20.15,13147
'0:0:20.2,13154
'0:0:20.25,13163
'0:0:20.3,13169
'0:0:20.35,13171
'0:0:20.4,13172
'0:0:20.45,13175
'0:0:20.5,13188
'0:0:20.55,13223
'0:0:20.6,13271
'0:0:20.65,13329
'0:0:20.7,13384
'0:0:20.75,13441
'0:0:20.8,13494
'0:0:20.85,13546
'0:0:20.9,13585
'0:0:20.95,13630
'0:0:21.0,13680
'0:0:21.05,13737
'0:0:21.1,13788
'0:0:21.15,13841
'0:0:21.2,13886
'0:0:21.25,13931
'0:0:21.3,13964
'0:0:21.35,13993
'0:0:21.4,14014
'0:0:21.45,14028
'0:0:21.5,14035
'0:0:21.55,14038
'0:0:21.6,14040
'0:0:21.65,14037
'0:0:21.7,14033
'0:0:21.75,14032
'0:0:21.8,14029
'0:0:21.85,14023
'0:0:21.9,14020
'0:0:21.95,14016
'0:0:22.0,13998
'0:0:22.05,13977
'0:0:22.1,13964
'0:0:22.15,13951
'0:0:22.2,13936
'0:0:22.25,13917
'0:0:22.3,13902
'0:0:22.35,13878
'0:0:22.4,13846
'0:0:22.45,13806
'0:0:22.5,13774
'0:0:22.55,13738
'0:0:22.6,13689
'0:0:22.65,13623
'0:0:22.7,13572
'0:0:22.75,13533
'0:0:22.8,13501
'0:0:22.85,13460
'0:0:22.9,13424
'0:0:22.95,13387
'0:0:23.0,13350
'0:0:23.05,13313
'0:0:23.1,13287
'0:0:23.15,13259
'0:0:23.2,13228
'0:0:23.25,13200
'0:0:23.3,13185
'0:0:23.35,13176
'0:0:23.4,13166
'0:0:23.45,13158
'0:0:23.5,13154
'0:0:23.55,13148
'0:0:23.6,13142
'0:0:23.65,13140
'0:0:23.7,13138
'0:0:23.75,13135
'0:0:23.8,13133
'0:0:23.85,13131
'0:0:23.9,13129
'0:0:23.95,13130
'0:0:24.0,13132
'0:0:24.05,13131
'0:0:24.1,13128
'0:0:24.15,13127
'0:0:24.2,13127
'0:0:24.25,13125
'0:0:24.3,13125
'0:0:24.35,13125
'0:0:24.4,13125
'0:0:24.45,13128
'0:0:24.5,13136
'0:0:24.55,13143
'0:0:24.6,13148
'0:0:24.65,13162
'0:0:24.7,13187
'0:0:24.75,13228
'0:0:24.8,13288
'0:0:24.85,13380
'0:0:24.9,13475
'0:0:24.95,13572
'0:0:25.0,13657
'0:0:25.05,13744
'0:0:25.1,13814
'0:0:25.15,13880
'0:0:25.2,13936
'0:0:25.25,13998
'0:0:25.3,14061
'0:0:25.35,14135
'0:0:25.4,14208
'0:0:25.45,14272
'0:0:25.5,14301
'0:0:25.55,14308
'0:0:25.6,14307
'0:0:25.65,14295
'0:0:25.7,14283
'0:0:25.75,14286
'0:0:25.8,14294
'0:0:25.85,14294
'0:0:25.9,14286
'0:0:25.95,14272
'0:0:26.0,14258
'0:0:26.05,14237
'0:0:26.1,14213
'0:0:26.15,14190
'0:0:26.2,14171
'0:0:26.25,14150
'0:0:26.3,14133
'0:0:26.35,14122
'0:0:26.4,14117
'0:0:26.45,14114
'0:0:26.5,14109
'0:0:26.55,14093
'0:0:26.6,14069
'0:0:26.65,14034
'0:0:26.7,13984
'0:0:26.75,13898
'0:0:26.8,13804
'0:0:26.85,13716
'0:0:26.9,13651
'0:0:26.95,13588
'0:0:27.0,13530
'0:0:27.05,13467
'0:0:27.1,13417
'0:0:27.15,13374
'0:0:27.2,13340
'0:0:27.25,13305
'0:0:27.3,13276
'0:0:27.35,13255
'0:0:27.4,13237
'0:0:27.45,13217
'0:0:27.5,13200
'0:0:27.55,13186
'0:0:27.6,13177
'0:0:27.65,13167
'0:0:27.7,13159
'0:0:27.75,13153
'0:0:27.8,13149
'0:0:27.85,13143
'0:0:27.9,13140
'0:0:27.95,13138
'0:0:28.0,13136
'0:0:28.05,13133
'0:0:28.1,13130
'0:0:28.15,13126
'0:0:28.2,13123
'0:0:28.25,13122
'0:0:28.3,13125
'0:0:28.35,13126
'0:0:28.4,13123
'0:0:28.45,13121
'0:0:28.5,13126
'0:0:28.55,13133
'0:0:28.6,13141
'0:0:28.65,13161
'0:0:28.7,13190
'0:0:28.75,13234
'0:0:28.8,13292
'0:0:28.85,13377
'0:0:28.9,13473
'0:0:28.95,13583
'0:0:29.0,13679
'0:0:29.05,13773
'0:0:29.1,13850
'0:0:29.15,13925
'0:0:29.2,13987
'0:0:29.25,14046
'0:0:29.3,14094
'0:0:29.35,14138
'0:0:29.4,14170
'0:0:29.45,14196
'0:0:29.5,14206
'0:0:29.55,14207
'0:0:29.6,14205
'0:0:29.65,14199
'0:0:29.7,14189
'0:0:29.75,14176
'0:0:29.8,14165
'0:0:29.85,14156
'0:0:29.9,14151
'0:0:29.95,14148
'0:0:30.0,14147
'0:0:30.05,14147
'0:0:30.1,14148
'0:0:30.15,14152
'0:0:30.2,14158
'0:0:30.25,14165
'0:0:30.3,14171
'0:0:30.35,14177
'0:0:30.4,14180
'0:0:30.45,14180
