,실험 이름 :,20240731_LSK
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,9386
'0:0:14.25,9398
'0:0:14.3,9404
'0:0:14.35,9409
'0:0:14.4,9419
'0:0:14.45,9430
'0:0:14.5,9439
'0:0:14.55,9445
'0:0:14.6,9451
'0:0:14.65,9455
'0:0:14.7,9457
'0:0:14.75,9461
'0:0:14.8,9465
'0:0:14.85,9470
'0:0:14.9,9474
'0:0:14.95,9478
'0:0:15.0,9480
'0:0:15.05,9480
'0:0:15.1,9480
'0:0:15.15,9482
'0:0:15.2,9479
'0:0:15.25,9474
'0:0:15.3,9468
'0:0:15.35,9459
'0:0:15.4,9451
'0:0:15.45,9444
'0:0:15.5,9431
'0:0:15.55,9415
'0:0:15.6,9401
'0:0:15.65,9390
'0:0:15.7,9379
'0:0:15.75,9367
'0:0:15.8,9351
'0:0:15.85,9332
'0:0:15.9,9305
'0:0:15.95,9279
'0:0:16.0,9252
'0:0:16.05,9229
'0:0:16.1,9205
'0:0:16.15,9183
'0:0:16.2,9160
'0:0:16.25,9141
'0:0:16.3,9122
'0:0:16.35,9106
'0:0:16.4,9092
'0:0:16.45,9081
'0:0:16.5,9071
'0:0:16.55,9063
'0:0:16.6,9055
'0:0:16.65,9048
'0:0:16.7,9040
'0:0:16.75,9033
'0:0:16.8,9024
'0:0:16.85,9016
'0:0:16.9,9003
'0:0:16.95,8991
'0:0:17.0,8983
'0:0:17.05,8979
'0:0:17.1,8976
'0:0:17.15,8976
'0:0:17.2,8975
'0:0:17.25,8972
'0:0:17.3,8971
'0:0:17.35,8971
'0:0:17.4,8972
'0:0:17.45,8974
'0:0:17.5,8975
'0:0:17.55,8975
'0:0:17.6,8975
'0:0:17.65,8974
'0:0:17.7,8975
'0:0:17.75,8977
'0:0:17.8,8977
'0:0:17.85,8977
'0:0:17.9,8978
'0:0:17.95,8981
'0:0:18.0,8986
'0:0:18.05,8993
'0:0:18.1,9004
'0:0:18.15,9016
'0:0:18.2,9031
'0:0:18.25,9046
'0:0:18.3,9066
'0:0:18.35,9083
'0:0:18.4,9098
'0:0:18.45,9112
'0:0:18.5,9130
'0:0:18.55,9147
'0:0:18.6,9165
'0:0:18.65,9182
'0:0:18.7,9200
'0:0:18.75,9214
'0:0:18.8,9228
'0:0:18.85,9243
'0:0:18.9,9260
'0:0:18.95,9278
'0:0:19.0,9297
'0:0:19.05,9313
'0:0:19.1,9328
'0:0:19.15,9341
'0:0:19.2,9357
'0:0:19.25,9370
'0:0:19.3,9385
'0:0:19.35,9399
'0:0:19.4,9415
'0:0:19.45,9430
'0:0:19.5,9446
'0:0:19.55,9460
'0:0:19.6,9474
'0:0:19.65,9488
'0:0:19.7,9502
'0:0:19.75,9509
'0:0:19.8,9513
'0:0:19.85,9520
'0:0:19.9,9532
'0:0:19.95,9545
'0:0:20.0,9558
'0:0:20.05,9570
'0:0:20.1,9582
'0:0:20.15,9590
'0:0:20.2,9600
'0:0:20.25,9610
'0:0:20.3,9622
'0:0:20.35,9630
'0:0:20.4,9637
'0:0:20.45,9642
'0:0:20.5,9647
'0:0:20.55,9652
'0:0:20.6,9657
'0:0:20.65,9664
'0:0:20.7,9675
'0:0:20.75,9682
'0:0:20.8,9679
'0:0:20.85,9670
'0:0:20.9,9661
'0:0:20.95,9650
'0:0:21.0,9629
'0:0:21.05,9604
'0:0:21.1,9579
'0:0:21.15,9556
'0:0:21.2,9529
'0:0:21.25,9498
'0:0:21.3,9460
'0:0:21.35,9422
'0:0:21.4,9377
'0:0:21.45,9336
'0:0:21.5,9296
'0:0:21.55,9264
'0:0:21.6,9235
'0:0:21.65,9210
'0:0:21.7,9184
'0:0:21.75,9161
'0:0:21.8,9137
'0:0:21.85,9118
'0:0:21.9,9099
'0:0:21.95,9083
'0:0:22.0,9069
'0:0:22.05,9057
'0:0:22.1,9046
'0:0:22.15,9036
'0:0:22.2,9027
'0:0:22.25,9020
'0:0:22.3,9012
'0:0:22.35,9001
'0:0:22.4,8989
'0:0:22.45,8981
'0:0:22.5,8975
'0:0:22.55,8970
'0:0:22.6,8968
'0:0:22.65,8968
'0:0:22.7,8966
'0:0:22.75,8965
