,실험 이름 :,20240731_CTH
지속기간:,2 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,5144
'0:0:14.25,5218
'0:0:14.3,5295
'0:0:14.35,5388
'0:0:14.4,5470
'0:0:14.45,5559
'0:0:14.5,5640
'0:0:14.55,5723
'0:0:14.6,5794
'0:0:14.65,5866
'0:0:14.7,5928
'0:0:14.75,5992
'0:0:14.8,6048
'0:0:14.85,6108
'0:0:14.9,6167
'0:0:14.95,6231
'0:0:15.0,6285
'0:0:15.05,6338
'0:0:15.1,6389
'0:0:15.15,6447
'0:0:15.2,6500
'0:0:15.25,6551
'0:0:15.3,6591
'0:0:15.35,6615
'0:0:15.4,6617
'0:0:15.45,6632
'0:0:15.5,6668
'0:0:15.55,6702
'0:0:15.6,6711
'0:0:15.65,6706
'0:0:15.7,6711
'0:0:15.75,6737
'0:0:15.8,6768
'0:0:15.85,6798
'0:0:15.9,6816
'0:0:15.95,6831
'0:0:16.0,6839
'0:0:16.05,6828
'0:0:16.1,6790
'0:0:16.15,6714
'0:0:16.2,6618
'0:0:16.25,6492
'0:0:16.3,6357
'0:0:16.35,6210
'0:0:16.4,6081
'0:0:16.45,5958
'0:0:16.5,5861
'0:0:16.55,5771
'0:0:16.6,5699
'0:0:16.65,5624
'0:0:16.7,5563
'0:0:16.75,5501
'0:0:16.8,5448
'0:0:16.85,5397
'0:0:16.9,5351
'0:0:16.95,5298
'0:0:17.0,5248
'0:0:17.05,5199
'0:0:17.1,5161
'0:0:17.15,5126
'0:0:17.2,5100
'0:0:17.25,5073
'0:0:17.3,5051
'0:0:17.35,5033
'0:0:17.4,5011
'0:0:17.45,4985
'0:0:17.5,4971
'0:0:17.55,4957
'0:0:17.6,4947
'0:0:17.65,4942
'0:0:17.7,4936
'0:0:17.75,4930
'0:0:17.8,4925
'0:0:17.85,4919
'0:0:17.9,4914
'0:0:17.95,4910
'0:0:18.0,4909
'0:0:18.05,4909
'0:0:18.1,4909
'0:0:18.15,4916
'0:0:18.2,4916
'0:0:18.25,4910
'0:0:18.3,4918
'0:0:18.35,4936
'0:0:18.4,4961
'0:0:18.45,4996
'0:0:18.5,5027
'0:0:18.55,5063
'0:0:18.6,5101
'0:0:18.65,5142
'0:0:18.7,5186
'0:0:18.75,5239
'0:0:18.8,5309
'0:0:18.85,5410
'0:0:18.9,5501
'0:0:18.95,5583
'0:0:19.0,5653
'0:0:19.05,5725
'0:0:19.1,5788
