,실험 이름 :,20240709_cth
지속기간:,1 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,9857
'0:0:14.25,9874
'0:0:14.3,9891
'0:0:14.35,9911
'0:0:14.4,9931
'0:0:14.45,9953
'0:0:14.5,9971
'0:0:14.55,9990
'0:0:14.6,10010
'0:0:14.65,10032
'0:0:14.7,10053
'0:0:14.75,10074
'0:0:14.8,10096
'0:0:14.85,10121
'0:0:14.9,10142
'0:0:14.95,10166
'0:0:15.0,10195
'0:0:15.05,10226
'0:0:15.1,10250
'0:0:15.15,10272
'0:0:15.2,10290
'0:0:15.25,10307
'0:0:15.3,10323
'0:0:15.35,10343
'0:0:15.4,10362
'0:0:15.45,10382
'0:0:15.5,10398
'0:0:15.55,10417
'0:0:15.6,10433
'0:0:15.65,10452
'0:0:15.7,10475
'0:0:15.75,10508
'0:0:15.8,10543
'0:0:15.85,10575
'0:0:15.9,10591
'0:0:15.95,10584
'0:0:16.0,10559
'0:0:16.05,10509
'0:0:16.1,10435
'0:0:16.15,10354
'0:0:16.2,10292
'0:0:16.25,10224
'0:0:16.3,10162
'0:0:16.35,10108
'0:0:16.4,10072
'0:0:16.45,10040
'0:0:16.5,10011
'0:0:16.55,9984
'0:0:16.6,9966
'0:0:16.65,9950
'0:0:16.7,9931
'0:0:16.75,9908
'0:0:16.8,9889
'0:0:16.85,9872
'0:0:16.9,9859
'0:0:16.95,9846
'0:0:17.0,9834
'0:0:17.05,9819
'0:0:17.1,9806
'0:0:17.15,9794
'0:0:17.2,9785
'0:0:17.25,9775
'0:0:17.3,9766
'0:0:17.35,9757
'0:0:17.4,9752
'0:0:17.45,9750
'0:0:17.5,9750
'0:0:17.55,9751
'0:0:17.6,9756
'0:0:17.65,9765
'0:0:17.7,9770
'0:0:17.75,9772
'0:0:17.8,9775
'0:0:17.85,9781
'0:0:17.9,9789
'0:0:17.95,9802
'0:0:18.0,9814
'0:0:18.05,9827
'0:0:18.1,9840
'0:0:18.15,9855
'0:0:18.2,9873
'0:0:18.25,9895
'0:0:18.3,9918
'0:0:18.35,9944
'0:0:18.4,9965
'0:0:18.45,9990
'0:0:18.5,10020
'0:0:18.55,10054
'0:0:18.6,10082
'0:0:18.65,10115
'0:0:18.7,10149
'0:0:18.75,10184
'0:0:18.8,10220
'0:0:18.85,10256
'0:0:18.9,10284
'0:0:18.95,10313
'0:0:19.0,10340
'0:0:19.05,10365
'0:0:19.1,10386
'0:0:19.15,10411
'0:0:19.2,10435
'0:0:19.25,10460
'0:0:19.3,10483
'0:0:19.35,10507
'0:0:19.4,10527
'0:0:19.45,10550
'0:0:19.5,10566
'0:0:19.55,10570
'0:0:19.6,10568
'0:0:19.65,10565
'0:0:19.7,10557
'0:0:19.75,10539
'0:0:19.8,10508
'0:0:19.85,10453
'0:0:19.9,10392
'0:0:19.95,10327
'0:0:20.0,10269
'0:0:20.05,10211
'0:0:20.1,10167
'0:0:20.15,10123
'0:0:20.2,10086
'0:0:20.25,10047
'0:0:20.3,10013
'0:0:20.35,9981
'0:0:20.4,9955
'0:0:20.45,9926
'0:0:20.5,9903
'0:0:20.55,9882
'0:0:20.6,9864
'0:0:20.65,9846
'0:0:20.7,9832
'0:0:20.75,9816
'0:0:20.8,9804
'0:0:20.85,9791
'0:0:20.9,9778
'0:0:20.95,9764
'0:0:21.0,9751
'0:0:21.05,9738
'0:0:21.1,9726
'0:0:21.15,9716
'0:0:21.2,9708
'0:0:21.25,9700
'0:0:21.3,9695
'0:0:21.35,9693
'0:0:21.4,9697
'0:0:21.45,9703
'0:0:21.5,9709
'0:0:21.55,9718
'0:0:21.6,9727
'0:0:21.65,9737
'0:0:21.7,9746
'0:0:21.75,9758
'0:0:21.8,9774
'0:0:21.85,9794
'0:0:21.9,9812
'0:0:21.95,9836
'0:0:22.0,9858
'0:0:22.05,9881
'0:0:22.1,9902
'0:0:22.15,9927
'0:0:22.2,9951
'0:0:22.25,9979
'0:0:22.3,10006
'0:0:22.35,10032
'0:0:22.4,10053
'0:0:22.45,10077
'0:0:22.5,10101
'0:0:22.55,10131
'0:0:22.6,10155
'0:0:22.65,10181
'0:0:22.7,10208
'0:0:22.75,10239
'0:0:22.8,10268
'0:0:22.85,10299
'0:0:22.9,10324
'0:0:22.95,10348
'0:0:23.0,10371
'0:0:23.05,10401
'0:0:23.1,10426
'0:0:23.15,10451
'0:0:23.2,10479
'0:0:23.25,10506
'0:0:23.3,10527
'0:0:23.35,10553
'0:0:23.4,10578
'0:0:23.45,10607
'0:0:23.5,10643
'0:0:23.55,10675
'0:0:23.6,10676
'0:0:23.65,10649
'0:0:23.7,10602
'0:0:23.75,10527
'0:0:23.8,10429
'0:0:23.85,10309
'0:0:23.9,10222
'0:0:23.95,10157
'0:0:24.0,10108
'0:0:24.05,10061
'0:0:24.1,10022
'0:0:24.15,9986
'0:0:24.2,9956
'0:0:24.25,9923
'0:0:24.3,9897
'0:0:24.35,9876
'0:0:24.4,9856
'0:0:24.45,9836
'0:0:24.5,9819
'0:0:24.55,9802
'0:0:24.6,9788
'0:0:24.65,9773
'0:0:24.7,9759
'0:0:24.75,9743
'0:0:24.8,9730
'0:0:24.85,9716
'0:0:24.9,9703
'0:0:24.95,9688
'0:0:25.0,9677
'0:0:25.05,9665
'0:0:25.1,9657
'0:0:25.15,9651
'0:0:25.2,9648
'0:0:25.25,9648
'0:0:25.3,9652
'0:0:25.35,9658
'0:0:25.4,9664
'0:0:25.45,9675
'0:0:25.5,9688
'0:0:25.55,9702
'0:0:25.6,9715
'0:0:25.65,9732
'0:0:25.7,9748
'0:0:25.75,9765
'0:0:25.8,9780
'0:0:25.85,9798
'0:0:25.9,9815
'0:0:25.95,9834
'0:0:26.0,9851
'0:0:26.05,9868
'0:0:26.1,9885
'0:0:26.15,9905
'0:0:26.2,9924
'0:0:26.25,9948
'0:0:26.3,9971
'0:0:26.35,9991
'0:0:26.4,10010
'0:0:26.45,10034
'0:0:26.5,10055
'0:0:26.55,10076
'0:0:26.6,10096
'0:0:26.65,10120
'0:0:26.7,10140
'0:0:26.75,10161
'0:0:26.8,10183
'0:0:26.85,10205
'0:0:26.9,10225
'0:0:26.95,10248
'0:0:27.0,10267
'0:0:27.05,10286
'0:0:27.1,10306
'0:0:27.15,10327
'0:0:27.2,10344
'0:0:27.25,10368
'0:0:27.3,10389
'0:0:27.35,10400
'0:0:27.4,10404
'0:0:27.45,10398
'0:0:27.5,10377
'0:0:27.55,10333
'0:0:27.6,10266
'0:0:27.65,10180
'0:0:27.7,10121
'0:0:27.75,10079
'0:0:27.8,10043
'0:0:27.85,10004
'0:0:27.9,9975
'0:0:27.95,9947
'0:0:28.0,9921
'0:0:28.05,9894
'0:0:28.1,9872
'0:0:28.15,9849
'0:0:28.2,9827
'0:0:28.25,9806
'0:0:28.3,9789
'0:0:28.35,9771
'0:0:28.4,9757
'0:0:28.45,9742
'0:0:28.5,9727
'0:0:28.55,9714
'0:0:28.6,9703
'0:0:28.65,9694
'0:0:28.7,9689
'0:0:28.75,9684
'0:0:28.8,9680
'0:0:28.85,9675
'0:0:28.9,9671
'0:0:28.95,9668
'0:0:29.0,9669
'0:0:29.05,9674
'0:0:29.1,9682
'0:0:29.15,9693
'0:0:29.2,9706
'0:0:29.25,9722
'0:0:29.3,9740
'0:0:29.35,9761
'0:0:29.4,9779
'0:0:29.45,9797
'0:0:29.5,9817
'0:0:29.55,9837
'0:0:29.6,9855
'0:0:29.65,9876
'0:0:29.7,9895
'0:0:29.75,9917
'0:0:29.8,9940
'0:0:29.85,9970
'0:0:29.9,9996
'0:0:29.95,10020
'0:0:30.0,10041
'0:0:30.05,10064
'0:0:30.1,10088
'0:0:30.15,10120
'0:0:30.2,10148
'0:0:30.25,10180
'0:0:30.3,10212
'0:0:30.35,10249
'0:0:30.4,10287
'0:0:30.45,10328
'0:0:30.5,10362
'0:0:30.55,10393
'0:0:30.6,10420
'0:0:30.65,10448
'0:0:30.7,10473
'0:0:30.75,10499
'0:0:30.8,10522
'0:0:30.85,10552
'0:0:30.9,10583
'0:0:30.95,10610
'0:0:31.0,10628
'0:0:31.05,10641
'0:0:31.1,10640
'0:0:31.15,10612
'0:0:31.2,10558
'0:0:31.25,10481
'0:0:31.3,10400
'0:0:31.35,10309
'0:0:31.4,10236
'0:0:31.45,10178
'0:0:31.5,10129
'0:0:31.55,10077
'0:0:31.6,10036
'0:0:31.65,9998
'0:0:31.7,9967
'0:0:31.75,9936
'0:0:31.8,9909
'0:0:31.85,9884
'0:0:31.9,9866
'0:0:31.95,9844
'0:0:32.0,9823
'0:0:32.05,9803
'0:0:32.1,9787
'0:0:32.15,9772
'0:0:32.2,9760
'0:0:32.25,9745
'0:0:32.3,9732
'0:0:32.35,9718
'0:0:32.4,9707
'0:0:32.45,9696
'0:0:32.5,9685
'0:0:32.55,9675
'0:0:32.6,9669
'0:0:32.65,9664
'0:0:32.7,9661
'0:0:32.75,9662
'0:0:32.8,9664
'0:0:32.85,9671
'0:0:32.9,9679
'0:0:32.95,9686
'0:0:33.0,9698
'0:0:33.05,9713
'0:0:33.1,9730
'0:0:33.15,9753
'0:0:33.2,9775
'0:0:33.25,9798
'0:0:33.3,9819
'0:0:33.35,9846
'0:0:33.4,9873
'0:0:33.45,9902
'0:0:33.5,9930
'0:0:33.55,9962
'0:0:33.6,9994
'0:0:33.65,10030
'0:0:33.7,10062
'0:0:33.75,10095
'0:0:33.8,10121
'0:0:33.85,10146
'0:0:33.9,10173
'0:0:33.95,10208
'0:0:34.0,10245
'0:0:34.05,10282
'0:0:34.1,10312
'0:0:34.15,10345
'0:0:34.2,10377
'0:0:34.25,10415
'0:0:34.3,10449
'0:0:34.35,10479
'0:0:34.4,10504
'0:0:34.45,10536
'0:0:34.5,10573
'0:0:34.55,10612
'0:0:34.6,10635
'0:0:34.65,10653
'0:0:34.7,10664
'0:0:34.75,10667
'0:0:34.8,10659
'0:0:34.85,10638
'0:0:34.9,10586
'0:0:34.95,10483
'0:0:35.0,10376
'0:0:35.05,10275
'0:0:35.1,10208
'0:0:35.15,10152
'0:0:35.2,10105
'0:0:35.25,10060
'0:0:35.3,10022
'0:0:35.35,9986
'0:0:35.4,9957
'0:0:35.45,9927
'0:0:35.5,9902
'0:0:35.55,9878
'0:0:35.6,9856
'0:0:35.65,9833
'0:0:35.7,9813
'0:0:35.75,9795
'0:0:35.8,9778
'0:0:35.85,9761
'0:0:35.9,9749
'0:0:35.95,9736
'0:0:36.0,9726
'0:0:36.05,9715
'0:0:36.1,9704
'0:0:36.15,9694
'0:0:36.2,9685
'0:0:36.25,9679
'0:0:36.3,9678
'0:0:36.35,9678
'0:0:36.4,9679
'0:0:36.45,9684
'0:0:36.5,9692
'0:0:36.55,9706
'0:0:36.6,9722
'0:0:36.65,9741
'0:0:36.7,9762
'0:0:36.75,9784
'0:0:36.8,9802
'0:0:36.85,9825
'0:0:36.9,9845
'0:0:36.95,9866
'0:0:37.0,9890
'0:0:37.05,9917
'0:0:37.1,9941
'0:0:37.15,9969
'0:0:37.2,9994
'0:0:37.25,10021
'0:0:37.3,10045
'0:0:37.35,10074
'0:0:37.4,10101
'0:0:37.45,10127
'0:0:37.5,10149
'0:0:37.55,10173
'0:0:37.6,10198
'0:0:37.65,10230
'0:0:37.7,10256
'0:0:37.75,10281
'0:0:37.8,10304
'0:0:37.85,10329
'0:0:37.9,10348
'0:0:37.95,10363
'0:0:38.0,10375
'0:0:38.05,10388
'0:0:38.1,10397
