,실험 이름 :,20240709_cth3
지속기간:,1 0
율:,20 초당
센서 :,호흡 (ID 2  실험 1)
범위:,Arb
단위 :,Arb
시각
'0:0:14.2,9844
'0:0:14.25,9852
'0:0:14.3,9864
'0:0:14.35,9881
'0:0:14.4,9907
'0:0:14.45,9933
'0:0:14.5,9960
'0:0:14.55,9988
'0:0:14.6,10017
'0:0:14.65,10044
'0:0:14.7,10075
'0:0:14.75,10105
'0:0:14.8,10140
'0:0:14.85,10173
'0:0:14.9,10209
'0:0:14.95,10241
'0:0:15.0,10275
'0:0:15.05,10305
'0:0:15.1,10337
'0:0:15.15,10365
'0:0:15.2,10393
'0:0:15.25,10417
'0:0:15.3,10429
'0:0:15.35,10412
'0:0:15.4,10347
'0:0:15.45,10264
'0:0:15.5,10189
'0:0:15.55,10148
'0:0:15.6,10125
'0:0:15.65,10111
'0:0:15.7,10088
'0:0:15.75,10062
'0:0:15.8,10033
'0:0:15.85,10008
'0:0:15.9,9986
'0:0:15.95,9968
'0:0:16.0,9949
'0:0:16.05,9932
'0:0:16.1,9915
'0:0:16.15,9903
'0:0:16.2,9891
'0:0:16.25,9880
'0:0:16.3,9870
'0:0:16.35,9866
'0:0:16.4,9869
'0:0:16.45,9878
'0:0:16.5,9893
'0:0:16.55,9912
'0:0:16.6,9939
'0:0:16.65,9968
'0:0:16.7,9999
'0:0:16.75,10026
'0:0:16.8,10058
'0:0:16.85,10086
'0:0:16.9,10114
'0:0:16.95,10142
'0:0:17.0,10174
'0:0:17.05,10205
'0:0:17.1,10241
'0:0:17.15,10276
'0:0:17.2,10312
'0:0:17.25,10344
'0:0:17.3,10376
'0:0:17.35,10405
'0:0:17.4,10427
'0:0:17.45,10436
'0:0:17.5,10431
'0:0:17.55,10389
'0:0:17.6,10310
'0:0:17.65,10232
'0:0:17.7,10160
'0:0:17.75,10112
'0:0:17.8,10074
'0:0:17.85,10046
'0:0:17.9,10019
'0:0:17.95,9994
'0:0:18.0,9969
'0:0:18.05,9949
'0:0:18.1,9929
'0:0:18.15,9912
'0:0:18.2,9897
'0:0:18.25,9886
'0:0:18.3,9872
'0:0:18.35,9863
'0:0:18.4,9854
'0:0:18.45,9842
'0:0:18.5,9825
'0:0:18.55,9808
'0:0:18.6,9791
'0:0:18.65,9780
'0:0:18.7,9778
'0:0:18.75,9788
'0:0:18.8,9811
'0:0:18.85,9835
'0:0:18.9,9862
'0:0:18.95,9889
'0:0:19.0,9920
'0:0:19.05,9948
'0:0:19.1,9977
'0:0:19.15,10007
'0:0:19.2,10041
'0:0:19.25,10069
'0:0:19.3,10100
'0:0:19.35,10130
'0:0:19.4,10162
'0:0:19.45,10192
'0:0:19.5,10222
'0:0:19.55,10251
'0:0:19.6,10281
'0:0:19.65,10307
'0:0:19.7,10331
'0:0:19.75,10351
'0:0:19.8,10372
'0:0:19.85,10384
'0:0:19.9,10370
'0:0:19.95,10316
'0:0:20.0,10230
'0:0:20.05,10160
'0:0:20.1,10107
'0:0:20.15,10073
'0:0:20.2,10042
'0:0:20.25,10016
'0:0:20.3,9991
'0:0:20.35,9972
'0:0:20.4,9956
'0:0:20.45,9941
'0:0:20.5,9923
'0:0:20.55,9909
'0:0:20.6,9896
'0:0:20.65,9885
'0:0:20.7,9873
'0:0:20.75,9863
'0:0:20.8,9853
'0:0:20.85,9847
'0:0:20.9,9841
'0:0:20.95,9839
'0:0:21.0,9842
'0:0:21.05,9849
'0:0:21.1,9862
'0:0:21.15,9880
'0:0:21.2,9906
'0:0:21.25,9933
'0:0:21.3,9962
'0:0:21.35,9987
'0:0:21.4,10010
'0:0:21.45,10031
'0:0:21.5,10055
'0:0:21.55,10078
'0:0:21.6,10103
'0:0:21.65,10127
'0:0:21.7,10157
'0:0:21.75,10188
'0:0:21.8,10221
'0:0:21.85,10251
'0:0:21.9,10281
'0:0:21.95,10311
'0:0:22.0,10343
'0:0:22.05,10357
'0:0:22.1,10336
'0:0:22.15,10286
'0:0:22.2,10226
'0:0:22.25,10176
'0:0:22.3,10127
'0:0:22.35,10087
'0:0:22.4,10052
'0:0:22.45,10026
'0:0:22.5,10002
'0:0:22.55,9981
'0:0:22.6,9961
'0:0:22.65,9943
'0:0:22.7,9924
'0:0:22.75,9909
'0:0:22.8,9897
'0:0:22.85,9888
'0:0:22.9,9878
'0:0:22.95,9870
'0:0:23.0,9863
'0:0:23.05,9856
'0:0:23.1,9851
'0:0:23.15,9846
'0:0:23.2,9839
'0:0:23.25,9832
'0:0:23.3,9827
'0:0:23.35,9823
'0:0:23.4,9822
'0:0:23.45,9827
'0:0:23.5,9841
'0:0:23.55,9863
'0:0:23.6,9891
'0:0:23.65,9916
'0:0:23.7,9942
'0:0:23.75,9966
'0:0:23.8,9989
'0:0:23.85,10014
'0:0:23.9,10047
'0:0:23.95,10080
'0:0:24.0,10117
'0:0:24.05,10155
'0:0:24.1,10196
'0:0:24.15,10232
'0:0:24.2,10267
'0:0:24.25,10298
'0:0:24.3,10329
'0:0:24.35,10356
'0:0:24.4,10386
'0:0:24.45,10416
'0:0:24.5,10444
'0:0:24.55,10459
'0:0:24.6,10445
'0:0:24.65,10399
'0:0:24.7,10329
'0:0:24.75,10263
'0:0:24.8,10197
'0:0:24.85,10151
'0:0:24.9,10112
'0:0:24.95,10078
'0:0:25.0,10044
'0:0:25.05,10018
'0:0:25.1,9992
'0:0:25.15,9971
'0:0:25.2,9950
'0:0:25.25,9933
'0:0:25.3,9917
'0:0:25.35,9903
'0:0:25.4,9889
'0:0:25.45,9878
'0:0:25.5,9865
'0:0:25.55,9853
'0:0:25.6,9843
'0:0:25.65,9834
'0:0:25.7,9825
'0:0:25.75,9821
'0:0:25.8,9822
'0:0:25.85,9829
'0:0:25.9,9843
'0:0:25.95,9859
'0:0:26.0,9884
'0:0:26.05,9911
'0:0:26.1,9938
'0:0:26.15,9964
'0:0:26.2,9991
'0:0:26.25,10016
'0:0:26.3,10046
'0:0:26.35,10076
'0:0:26.4,10109
'0:0:26.45,10141
'0:0:26.5,10178
'0:0:26.55,10210
'0:0:26.6,10246
'0:0:26.65,10279
'0:0:26.7,10315
'0:0:26.75,10348
'0:0:26.8,10381
'0:0:26.85,10405
'0:0:26.9,10407
'0:0:26.95,10371
'0:0:27.0,10297
'0:0:27.05,10222
'0:0:27.1,10156
'0:0:27.15,10113
'0:0:27.2,10078
'0:0:27.25,10048
'0:0:27.3,10021
'0:0:27.35,10000
'0:0:27.4,9981
'0:0:27.45,9967
'0:0:27.5,9952
'0:0:27.55,9936
'0:0:27.6,9919
'0:0:27.65,9905
'0:0:27.7,9892
'0:0:27.75,9882
'0:0:27.8,9871
'0:0:27.85,9864
'0:0:27.9,9860
'0:0:27.95,9858
'0:0:28.0,9859
'0:0:28.05,9864
'0:0:28.1,9874
'0:0:28.15,9885
'0:0:28.2,9899
'0:0:28.25,9913
'0:0:28.3,9929
'0:0:28.35,9946
'0:0:28.4,9964
'0:0:28.45,9981
'0:0:28.5,9999
'0:0:28.55,10017
'0:0:28.6,10036
'0:0:28.65,10051
'0:0:28.7,10067
'0:0:28.75,10083
'0:0:28.8,10100
'0:0:28.85,10114
'0:0:28.9,10129
'0:0:28.95,10143
'0:0:29.0,10162
'0:0:29.05,10180
'0:0:29.1,10188
'0:0:29.15,10172
'0:0:29.2,10138
'0:0:29.25,10109
'0:0:29.3,10085
'0:0:29.35,10067
'0:0:29.4,10048
'0:0:29.45,10031
'0:0:29.5,10017
'0:0:29.55,10003
'0:0:29.6,9987
'0:0:29.65,9972
'0:0:29.7,9956
'0:0:29.75,9941
'0:0:29.8,9926
'0:0:29.85,9915
'0:0:29.9,9903
'0:0:29.95,9892
'0:0:30.0,9883
'0:0:30.05,9876
'0:0:30.1,9869
'0:0:30.15,9864
'0:0:30.2,9858
'0:0:30.25,9853
'0:0:30.3,9851
'0:0:30.35,9853
'0:0:30.4,9860
'0:0:30.45,9870
'0:0:30.5,9883
'0:0:30.55,9901
'0:0:30.6,9923
'0:0:30.65,9940
'0:0:30.7,9956
'0:0:30.75,9974
'0:0:30.8,9992
'0:0:30.85,10007
'0:0:30.9,10028
'0:0:30.95,10052
'0:0:31.0,10080
'0:0:31.05,10109
'0:0:31.1,10141
'0:0:31.15,10171
'0:0:31.2,10205
'0:0:31.25,10238
'0:0:31.3,10271
'0:0:31.35,10300
'0:0:31.4,10335
'0:0:31.45,10357
'0:0:31.5,10349
'0:0:31.55,10306
'0:0:31.6,10244
'0:0:31.65,10191
'0:0:31.7,10143
'0:0:31.75,10106
'0:0:31.8,10072
'0:0:31.85,10046
'0:0:31.9,10021
'0:0:31.95,10003
'0:0:32.0,9987
'0:0:32.05,9970
'0:0:32.1,9953
'0:0:32.15,9938
'0:0:32.2,9924
'0:0:32.25,9912
'0:0:32.3,9901
'0:0:32.35,9892
'0:0:32.4,9883
'0:0:32.45,9875
'0:0:32.5,9866
'0:0:32.55,9860
'0:0:32.6,9853
'0:0:32.65,9845
'0:0:32.7,9843
'0:0:32.75,9847
'0:0:32.8,9858
'0:0:32.85,9875
'0:0:32.9,9897
'0:0:32.95,9917
'0:0:33.0,9939
'0:0:33.05,9958
'0:0:33.1,9979
'0:0:33.15,9999
'0:0:33.2,10027
'0:0:33.25,10056
'0:0:33.3,10088
'0:0:33.35,10117
'0:0:33.4,10147
'0:0:33.45,10174
'0:0:33.5,10205
'0:0:33.55,10237
'0:0:33.6,10273
'0:0:33.65,10301
'0:0:33.7,10316
'0:0:33.75,10298
'0:0:33.8,10242
'0:0:33.85,10180
'0:0:33.9,10125
'0:0:33.95,10087
'0:0:34.0,10053
'0:0:34.05,10026
'0:0:34.1,10000
'0:0:34.15,9980
'0:0:34.2,9962
'0:0:34.25,9947
'0:0:34.3,9931
'0:0:34.35,9917
'0:0:34.4,9904
'0:0:34.45,9892
'0:0:34.5,9880
'0:0:34.55,9872
'0:0:34.6,9863
'0:0:34.65,9856
'0:0:34.7,9851
'0:0:34.75,9846
'0:0:34.8,9840
'0:0:34.85,9836
'0:0:34.9,9834
'0:0:34.95,9834
'0:0:35.0,9838
'0:0:35.05,9846
'0:0:35.1,9864
'0:0:35.15,9887
'0:0:35.2,9912
'0:0:35.25,9932
'0:0:35.3,9957
'0:0:35.35,9979
'0:0:35.4,10001
'0:0:35.45,10023
'0:0:35.5,10050
'0:0:35.55,10075
'0:0:35.6,10101
'0:0:35.65,10125
'0:0:35.7,10150
'0:0:35.75,10173
'0:0:35.8,10198
'0:0:35.85,10217
'0:0:35.9,10232
'0:0:35.95,10245
'0:0:36.0,10246
'0:0:36.05,10218
'0:0:36.1,10161
'0:0:36.15,10107
'0:0:36.2,10060
'0:0:36.25,10027
'0:0:36.3,10003
'0:0:36.35,9989
'0:0:36.4,9975
'0:0:36.45,9961
'0:0:36.5,9946
'0:0:36.55,9932
'0:0:36.6,9919
'0:0:36.65,9907
'0:0:36.7,9896
'0:0:36.75,9887
'0:0:36.8,9878
'0:0:36.85,9873
'0:0:36.9,9870
'0:0:36.95,9869
'0:0:37.0,9870
'0:0:37.05,9873
'0:0:37.1,9880
'0:0:37.15,9884
'0:0:37.2,9887
'0:0:37.25,9898
'0:0:37.3,9917
'0:0:37.35,9937
'0:0:37.4,9961
'0:0:37.45,9983
'0:0:37.5,10007
'0:0:37.55,10030
'0:0:37.6,10061
'0:0:37.65,10091
'0:0:37.7,10122
'0:0:37.75,10151
'0:0:37.8,10186
'0:0:37.85,10219
'0:0:37.9,10255
'0:0:37.95,10288
'0:0:38.0,10323
'0:0:38.05,10357
'0:0:38.1,10391
'0:0:38.15,10422
'0:0:38.2,10438
'0:0:38.25,10405
'0:0:38.3,10331
'0:0:38.35,10251
'0:0:38.4,10175
'0:0:38.45,10127
'0:0:38.5,10089
'0:0:38.55,10059
'0:0:38.6,10029
'0:0:38.65,10003
'0:0:38.7,9976
'0:0:38.75,9953
'0:0:38.8,9930
'0:0:38.85,9915
'0:0:38.9,9900
'0:0:38.95,9886
'0:0:39.0,9872
'0:0:39.05,9862
'0:0:39.1,9851
'0:0:39.15,9843
'0:0:39.2,9835
'0:0:39.25,9827
'0:0:39.3,9820
'0:0:39.35,9814
'0:0:39.4,9811
'0:0:39.45,9812
'0:0:39.5,9820
'0:0:39.55,9835
'0:0:39.6,9859
'0:0:39.65,9884
'0:0:39.7,9911
'0:0:39.75,9934
'0:0:39.8,9957
'0:0:39.85,9977
'0:0:39.9,10000
'0:0:39.95,10022
'0:0:40.0,10046
'0:0:40.05,10068
'0:0:40.1,10091
'0:0:40.15,10112
'0:0:40.2,10137
'0:0:40.25,10161
'0:0:40.3,10188
'0:0:40.35,10214
'0:0:40.4,10242
'0:0:40.45,10263
'0:0:40.5,10266
'0:0:40.55,10244
'0:0:40.6,10197
'0:0:40.65,10153
'0:0:40.7,10109
'0:0:40.75,10072
'0:0:40.8,10042
'0:0:40.85,10020
'0:0:40.9,10001
'0:0:40.95,9987
'0:0:41.0,9970
'0:0:41.05,9952
'0:0:41.1,9934
'0:0:41.15,9918
'0:0:41.2,9905
'0:0:41.25,9896
'0:0:41.3,9886
'0:0:41.35,9877
'0:0:41.4,9868
'0:0:41.45,9859
'0:0:41.5,9852
'0:0:41.55,9847
'0:0:41.6,9839
'0:0:41.65,9834
'0:0:41.7,9830
'0:0:41.75,9827
'0:0:41.8,9825
'0:0:41.85,9825
'0:0:41.9,9831
'0:0:41.95,9843
'0:0:42.0,9863
'0:0:42.05,9885
'0:0:42.1,9913
'0:0:42.15,9938
'0:0:42.2,9963
'0:0:42.25,9987
'0:0:42.3,10015
'0:0:42.35,10042
'0:0:42.4,10069
'0:0:42.45,10095
